y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
7.05,4.0,2.5,3090.0,,2.0,A0,0,4,10.0,3090,0,3100,10882,17,-1
5.5,4.0,2.75,2920.0,6605.0,2.0,A0,0,3,8.0,2920,0,3030,6605,3,-1
2.8,3.0,2.5,2620.0,78843.0,1.0,A0,3,4,7.0,1310,1310,2330,130244,51,-1
3.15,1.0,1.75,1440.0,,1.0,A0,0,3,7.0,720,720,1440,4920,92,-1
3.4995,5.0,3.5,2760.0,3846.0,2.5,A0,0,3,8.0,2760,0,2760,4587,2,-1
3.35,4.0,1.0,1970.0,,1.5,A0,0,3,7.0,1670,300,1510,4740,111,10
1.85,3.0,1.75,1680.0,8725.0,1.0,A0,0,3,8.0,1240,440,2020,8352,37,-1
3.7,3.0,1.75,1360.0,,1.0,A0,0,3,8.0,1360,0,1350,4998,47,1
3.6,3.0,2.25,1230.0,,2.0,A0,0,3,8.0,1080,150,1230,953,6,-1
3.3,2.0,1.5,1170.0,,3.0,A0,0,3,8.0,1170,0,1290,1308,14,-1
6.24,4.0,2.5,3230.0,,2.0,A0,0,4,10.0,3230,0,2990,40234,28,-1
0.916,3.0,1.75,1150.0,,1.0,A0,0,4,7.0,1150,0,1330,7040,38,-1
3.3,3.0,1.5,1010.0,,1.5,A0,0,5,7.0,1010,0,1550,7271,62,-1
0.95,3.0,1.5,1350.0,,1.0,A0,0,2,,1350,0,2220,93825,49,-1
3.792,4.0,2.5,2630.0,,2.0,A0,0,3,,2630,0,2630,5379,11,-1
3.75,3.0,2.0,2320.0,,1.0,A0,0,3,8.0,2320,0,1610,14482,63,21
3.27,2.0,1.0,620.0,,1.0,A0,0,5,6.0,620,0,1290,2475,104,-1
1.85,3.0,1.0,1200.0,,1.0,A0,0,3,6.0,800,400,940,4440,65,-1
3.45,3.0,1.75,1720.0,,1.5,A0,0,3,8.0,1720,0,1410,8300,83,6
6.25,6.0,3.0,2790.0,4550.0,2.5,A0,0,4,8.0,2790,0,2590,4550,108,-1
2.249,3.0,1.0,1110.0,,1.0,A0,0,3,,1110,0,1780,8593,36,-1
5.9925,4.0,2.5,2780.0,35000.0,1.0,A0,0,4,9.0,2780,0,2740,35072,30,-1
5.9,3.0,2.75,1930.0,2960.0,1.5,A0,0,5,7.0,1490,440,2080,3760,86,-1
4.50888,5.0,1.75,2550.0,,1.0,A0,0,5,7.0,1810,740,2170,51400,55,-1
3.0,4.0,2.0,2070.0,,1.0,A0,0,5,7.0,2070,0,1300,9572,60,-1
2.37,3.0,1.5,1255.0,,3.0,A0,0,3,7.0,1255,0,1307,1232,11,-1
1.14,3.0,1.0,,,1.0,A0,0,3,6.0,1010,0,1170,7560,57,-1
1.3,4.0,1.5,1420.0,8063.0,1.0,A0,0,3,7.0,940,480,1330,7515,53,-1
1.31,2.0,1.0,810.0,,1.0,A0,0,5,6.0,810,0,1090,7158,71,-1
2.15,3.0,1.0,1210.0,33919.0,1.0,A0,0,3,7.0,1210,0,1640,14910,61,-1
4.5,4.0,2.25,2660.0,,1.0,A0,0,4,8.0,1750,910,1890,8250,38,-1
5.5,4.0,2.0,1760.0,,1.5,A0,0,4,7.0,1170,590,1850,6600,67,-1
4.75,5.0,2.5,2780.0,,2.0,A0,0,3,8.0,2780,0,1150,8460,1,-1
3.7,3.0,1.5,1310.0,,2.0,A0,0,3,8.0,1120,190,1310,1378,13,-1
3.7,4.0,2.5,2170.0,5257.0,2.0,A0,0,3,7.0,2170,0,1430,7528,26,-1
4.405,4.0,2.75,2830.0,,2.0,A0,0,3,8.0,2830,0,2830,7916,10,-1
1.43,3.0,1.0,1020.0,,1.0,A0,0,3,7.0,1020,0,1290,7320,59,-1
3.95,3.0,1.5,1500.0,,1.5,A0,0,4,7.0,1140,360,1500,5000,88,-1
4.019,3.0,1.0,1240.0,,1.5,A0,0,4,6.0,960,280,1460,5750,105,-1
3.12865,3.0,2.5,2370.0,,2.0,A0,0,3,8.0,2370,0,2370,4200,1,-1
5.65,3.0,3.5,1740.0,1975.0,2.0,A0,3,3,8.0,1310,430,1740,1975,17,-1
17.0,4.0,3.25,3730.0,7071.0,3.0,A0,2,3,11.0,3730,0,3730,7680,30,-1
1.58,3.0,2.0,1710.0,,1.5,A0,0,5,6.0,1710,0,1030,4705,74,-1
2.1,4.0,2.0,1760.0,,1.0,A0,1,3,7.0,780,980,1510,5500,90,11
4.4,4.0,2.5,2800.0,,2.0,A0,0,3,8.0,2800,0,1880,9336,12,-1
3.25,4.0,1.75,1580.0,,1.0,A0,0,3,,1130,450,830,980,68,-1
1.75,2.0,1.5,982.0,,2.0,A0,0,3,8.0,806,176,1010,3844,9,-1
2.6,4.0,2.5,2520.0,,2.0,A0,0,3,,2520,0,2350,7632,28,-1
2.45,3.0,2.5,1680.0,,2.0,A0,0,3,7.0,1680,0,2160,4621,12,-1
0.55,2.0,1.0,840.0,,1.0,A0,0,3,7.0,840,0,1350,5831,64,-1
4.65,4.0,2.25,2540.0,,1.0,A0,0,3,8.0,1450,1090,1780,59241,25,-1
1.65,2.0,1.5,1078.0,1263.0,2.0,A0,0,3,,1078,0,1078,1263,25,-1
2.64999,3.0,2.5,2360.0,8093.0,2.0,A0,0,3,8.0,2360,0,1860,6762,20,-1
2.15,3.0,2.5,,8764.0,2.0,A0,0,3,8.0,2360,0,2360,8746,24,-1
4.0,3.0,1.5,1790.0,,2.0,A0,3,3,7.0,1790,0,1970,216928,28,-1
1.725,3.0,2.25,1620.0,6000.0,1.0,A0,0,3,,1280,340,1710,6318,17,-1
9.25,5.0,1.0,2010.0,,1.5,A0,0,3,9.0,1890,120,2330,5000,88,-1
8.8,4.0,3.25,3720.0,,2.0,A0,0,3,9.0,3720,0,3100,6790,3,-1
1.2995,2.0,0.75,1130.0,,1.0,A0,0,3,7.0,1130,0,1550,10700,59,-1
3.45,3.0,1.75,1720.0,,1.0,A0,0,5,6.0,860,860,1440,8106,75,-1
2.45,3.0,2.5,1530.0,,2.0,A0,0,3,7.0,1530,0,1540,2890,14,-1
2.24,2.0,1.75,1270.0,,1.0,A0,0,4,7.0,890,380,2020,8025,34,-1
2.7,3.0,1.0,960.0,,1.0,A0,0,3,7.0,960,0,1020,3844,43,-1
5.83,3.0,1.5,1660.0,,1.5,A0,0,3,7.0,1660,0,2200,3240,96,-1
2.65,3.0,1.75,,10710.0,1.0,A0,0,3,7.0,860,860,1480,10359,58,-1
6.25,3.0,1.75,2000.0,,1.0,A0,0,4,8.0,2000,0,2620,14733,57,-1
4.7725,4.0,2.5,2580.0,,2.0,A0,0,3,8.0,2580,0,2380,5823,13,-1
9.23,3.0,2.25,3370.0,,2.0,A0,2,4,9.0,3370,0,2690,10500,35,-1
2.55,3.0,1.0,,,1.0,A0,0,3,7.0,1570,0,1380,9127,62,-1
6.6,3.0,2.0,1610.0,,2.0,A0,2,5,8.0,1610,0,2540,6600,90,-1
5.04,4.0,1.5,2480.0,6000.0,1.0,A0,0,3,8.0,1520,960,1810,6000,60,-1
4.17,2.0,1.0,1290.0,,1.0,A0,0,4,6.0,890,400,1260,5376,93,-1
5.2,4.0,2.5,1820.0,,2.0,A0,0,3,8.0,1820,0,2710,33915,28,-1
8.15,4.0,2.75,3220.0,15467.0,2.0,A0,0,3,11.0,3220,0,3670,16641,21,-1
0.965,3.0,1.0,1150.0,6480.0,1.5,A0,0,4,5.0,1150,0,1100,7300,69,-1
2.6,4.0,2.5,2370.0,,2.0,A0,0,3,8.0,2370,0,2190,6070,14,-1
2.1,3.0,2.5,1940.0,,2.0,A0,0,3,7.0,1940,0,1860,8875,25,-1
8.54,5.0,3.25,4150.0,,2.0,A0,0,3,10.0,4150,0,3560,7214,2,-1
7.2,5.0,3.5,3330.0,3705.0,2.0,A0,0,3,9.0,2610,720,2810,3971,7,-1
2.0,4.0,1.75,2000.0,,1.0,A0,0,5,7.0,1010,990,1490,7350,40,-1
5.62,4.0,2.5,1710.0,,1.0,A0,0,3,8.0,1110,600,1750,5304,36,-1
4.27,3.0,2.0,1300.0,,1.0,A0,0,3,7.0,1300,0,1520,10670,60,2
2.0495,3.0,1.75,1720.0,,1.0,A0,0,3,8.0,1720,0,1970,8400,37,-1
1.92,3.0,2.25,2510.0,,1.0,A0,0,3,8.0,1610,900,1940,8510,37,-1
14.45,5.0,3.5,,13288.0,2.0,A0,2,3,11.0,3920,2010,3860,12062,19,-1
4.32,4.0,2.25,1490.0,,2.0,A0,0,3,7.0,1020,470,1510,1350,10,-1
1.6,3.0,1.75,1370.0,,1.0,A0,0,4,8.0,1370,0,2100,15260,38,-1
2.89,4.0,2.5,2080.0,,1.0,A0,0,4,8.0,2080,0,1850,11050,46,-1
2.78,2.0,1.0,1100.0,,1.0,A0,0,3,7.0,1100,0,1920,7149,64,-1
1.515,3.0,1.5,1300.0,,1.0,A0,0,4,7.0,900,400,1430,7500,39,-1
4.75,4.0,1.75,2480.0,,1.0,A0,3,3,8.0,1460,1020,2910,10800,57,-1
4.4495,3.0,2.25,1170.0,,3.0,A0,0,3,8.0,1170,0,1350,1310,1,-1
2.65,3.0,1.75,1210.0,,1.0,A0,0,4,7.0,1210,0,1550,10707,28,-1
6.85,6.0,3.75,3810.0,,2.0,A0,0,4,8.0,3810,0,1830,5125,38,-1
6.157,5.0,2.75,2870.0,5349.0,2.0,A0,0,3,9.0,2870,0,2800,5000,10,-1
2.52,4.0,1.75,1840.0,,1.0,A0,0,4,5.0,1840,0,2160,5400,82,-1
3.0,3.0,2.0,1410.0,,1.0,A0,0,4,6.0,1410,0,2090,9202,32,-1
2.14275,3.0,2.0,2860.0,,1.0,A0,0,3,9.0,1700,1160,1460,13648,30,-1
3.579,3.0,2.5,2210.0,,2.0,A0,0,3,8.0,2210,0,2430,8902,17,-1
12.25,5.0,4.0,3366.0,7800.0,2.5,A0,2,3,,2966,400,2340,6000,78,-1
7.05,4.0,2.5,3690.0,13609.0,2.0,A0,2,3,10.0,3690,0,3600,13609,19,-1
4.4,5.0,2.5,3810.0,,1.5,A0,0,5,8.0,3810,0,2470,11662,48,-1
7.576,4.0,1.0,1640.0,,1.5,A0,0,3,7.0,1640,0,1730,3990,90,-1
7.62219,5.0,2.75,3030.0,,2.0,A0,0,3,9.0,3030,0,3080,6341,1,-1
8.5,4.0,2.5,2190.0,,2.5,A0,0,5,8.0,2190,0,1880,7350,57,-1
5.4,5.0,2.0,2130.0,,1.5,A0,0,5,7.0,1270,860,1710,4180,89,-1
7.7095,5.0,2.75,4450.0,,2.0,A0,0,3,9.0,3650,800,4000,9750,1,-1
12.3,5.0,3.5,3270.0,,2.0,A0,0,3,9.0,2180,1090,1410,4080,4,-1
2.6495,3.0,2.0,1340.0,,1.5,A0,0,3,7.0,1340,0,1420,10200,62,-1
3.7,2.0,1.75,1440.0,4660.0,1.0,A0,2,3,8.0,1440,0,1680,4989,7,-1
15.54,5.0,2.5,3090.0,16583.0,2.0,A0,0,4,9.0,3090,0,3740,17853,51,-1
7.9,3.0,1.5,1530.0,,1.0,A0,0,4,8.0,1530,0,2050,10827,60,-1
2.8,4.0,3.0,2580.0,,2.0,A0,0,4,7.0,2130,450,1900,10092,23,-1
3.45,3.0,2.0,1200.0,,1.0,A0,0,3,6.0,880,320,1510,5854,78,-1
5.775,4.0,2.5,2700.0,,2.0,A0,0,3,9.0,2700,0,2500,9122,25,-1
3.65,4.0,2.5,2800.0,,2.0,A0,0,3,9.0,2800,0,2530,4694,14,-1
2.81,2.0,1.75,1060.0,,1.0,A0,0,3,7.0,1060,0,1790,16748,38,-1
7.675,5.0,4.0,2980.0,,1.5,A0,0,3,7.0,2070,910,1560,4225,94,-1
1.35,3.0,1.0,1200.0,,1.0,A0,0,3,6.0,1200,0,1200,7420,38,-1
9.85,3.0,2.75,2700.0,,1.5,A0,1,4,10.0,2700,0,3390,15682,38,-1
3.01,2.0,2.0,1340.0,,2.0,A0,0,3,8.0,1340,0,1410,1375,12,-1
6.6,4.0,1.75,2100.0,7960.0,1.0,A0,0,3,8.0,1340,760,2060,7960,60,-1
44.25,5.0,5.5,6640.0,40014.0,2.0,A1,4,3,12.0,6350,290,3030,23408,11,-1
5.54,3.0,2.0,1510.0,,2.0,A0,0,4,7.0,1510,0,1990,5000,106,20
4.725,3.0,2.5,2550.0,,2.0,A0,0,3,9.0,2550,0,2550,10084,25,-1
2.6,3.0,1.75,1510.0,,1.0,A0,0,3,7.0,1510,0,1520,10037,67,39
4.68115,2.0,1.0,1380.0,,1.0,A0,0,3,8.0,1030,350,1380,5347,68,-1
2.2,2.0,1.0,820.0,,1.0,A0,0,3,6.0,820,0,1580,8154,85,29
5.23,4.0,2.5,2030.0,,1.0,A0,0,3,8.0,1330,700,2180,7500,30,-1
1.59,4.0,2.5,1820.0,,1.0,A0,0,3,7.0,1120,700,1310,8217,28,-1
11.2,3.0,2.25,3070.0,,2.0,A0,0,3,10.0,2110,960,3130,9450,28,-1
4.61,3.0,1.75,1530.0,,1.0,A0,0,4,7.0,1150,380,1610,8549,32,-1
11.25,4.0,3.5,4560.0,,1.0,A0,3,3,12.0,2230,2330,4060,15177,20,-1
5.165,4.0,2.5,1690.0,,1.5,A0,0,4,7.0,1140,550,1600,4590,103,-1
5.8,3.0,1.75,1800.0,,1.0,A0,0,3,7.0,1170,630,1720,5102,63,-1
3.14,4.0,1.75,2400.0,,1.5,A0,0,4,7.0,1500,900,1530,7700,88,-1
5.45047,4.0,1.75,1760.0,,1.0,A0,0,3,7.0,880,880,2040,6000,69,-1
3.31,3.0,1.5,1370.0,,1.0,A0,0,4,7.0,1370,0,1730,9465,53,-1
5.05,3.0,1.75,1970.0,5100.0,1.0,A0,0,3,7.0,1130,840,1250,4080,107,50
18.2,5.0,2.25,3120.0,16672.0,2.0,A0,0,4,9.0,3120,0,3740,17853,46,-1
3.63,2.0,1.0,1630.0,,1.0,A0,0,3,,1630,0,1800,8000,74,-1
3.65,4.0,2.75,2420.0,,1.0,A0,0,3,8.0,1220,1200,2240,9750,53,-1
2.24,5.0,2.5,2220.0,,1.0,A0,0,4,7.0,1110,1110,1780,7704,47,-1
4.5495,4.0,2.75,1860.0,,1.0,A0,0,5,8.0,1220,640,2020,8137,48,-1
2.45,4.0,2.5,2190.0,,2.0,A0,0,5,8.0,2190,0,2190,8075,37,-1
2.76358,2.0,1.75,1210.0,,2.0,A0,0,3,8.0,1210,0,1540,1672,1,-1
6.75,3.0,2.5,2350.0,,1.5,A0,0,4,9.0,2350,0,1280,325393,36,-1
3.6,3.0,1.75,2030.0,,1.0,A0,0,3,8.0,1630,400,2120,11200,39,-1
3.1,4.0,3.0,2090.0,,1.0,A0,0,3,7.0,1350,740,2090,5102,21,-1
1.59,3.0,1.0,1040.0,8122.0,1.0,A0,0,5,7.0,1040,0,1470,8676,44,-1
2.44,2.0,1.5,1090.0,,3.0,A0,0,3,8.0,1090,0,1090,1118,6,-1
5.62,4.0,2.5,2120.0,15000.0,2.0,A0,0,4,8.0,2120,0,2170,15000,32,-1
6.811,4.0,2.0,2000.0,,1.5,A0,0,4,8.0,2000,0,1390,6001,98,-1
7.055,5.0,1.0,1760.0,,2.0,A0,0,3,8.0,1760,0,2130,4264,113,-1
4.59,5.0,2.0,2280.0,,2.0,A0,0,3,7.0,2280,0,1740,1800,23,-1
1.0,6.0,1.5,1930.0,,1.0,A0,0,3,,1030,900,1780,9520,44,-1
4.4,3.0,2.0,1560.0,,3.0,A0,0,3,,1560,0,1560,1728,1,-1
1.6755,4.0,2.5,2060.0,7720.0,2.0,A0,0,3,8.0,2060,0,1630,7720,20,-1
3.332,3.0,2.5,1800.0,,2.0,A0,0,4,7.0,1800,0,1800,5952,25,-1
1.15,3.0,1.75,1160.0,,1.0,A0,0,4,6.0,1160,0,1110,8382,97,-1
2.53,3.0,1.0,890.0,,1.0,A0,0,3,7.0,890,0,1930,7500,65,-1
5.1,3.0,2.5,2050.0,11690.0,2.0,A0,0,4,9.0,2050,0,2410,10172,26,-1
4.5,4.0,2.75,2470.0,,1.0,A0,0,5,7.0,1350,1120,1500,6000,75,-1
3.75,2.0,1.0,1030.0,4365.0,1.0,A0,0,3,7.0,1030,0,1420,4268,73,-1
2.8125,3.0,2.5,,,2.0,A0,0,3,9.0,2060,0,2648,4500,1,-1
2.5995,4.0,2.5,2230.0,,2.0,A0,0,3,7.0,2230,0,1910,5500,16,-1
7.75,4.0,2.75,5440.0,,1.0,A0,0,2,9.0,2720,2720,1970,40392,46,-1
5.25,4.0,1.75,1740.0,,1.0,A0,0,5,7.0,1740,0,1740,8120,47,-1
5.45,5.0,1.0,2230.0,,1.5,A0,3,4,7.0,1700,530,2730,18400,92,-1
0.75,2.0,1.0,840.0,,1.0,A0,0,3,6.0,840,0,1480,6969,90,-1
5.05,3.0,2.25,1480.0,,3.0,A0,0,3,8.0,1480,0,1570,1283,1,-1
6.68,4.0,2.75,3410.0,,2.0,A0,0,3,9.0,3410,0,3420,7048,3,-1
3.61,4.0,2.0,1600.0,15044.0,1.0,A0,0,3,7.0,1600,0,1660,8102,43,-1
3.0495,2.0,1.0,870.0,,1.0,A0,0,3,7.0,870,0,1240,5709,68,-1
7.575,4.0,2.5,3450.0,,2.0,A0,0,3,10.0,3450,0,3110,35894,28,-1
3.51,3.0,1.0,,,1.0,A0,0,5,7.0,1130,0,1930,9906,63,-1
7.0438,5.0,2.5,2590.0,,2.0,A0,0,3,8.0,2590,0,3010,4823,1,-1
2.65,2.0,1.0,690.0,,1.0,A0,0,3,6.0,690,0,1380,5700,97,-1
9.23,5.0,3.5,3760.0,,2.0,A0,0,3,10.0,3150,610,3550,12118,46,-1
10.718,4.0,3.5,4210.0,,2.0,A0,0,3,,4210,0,3860,10200,9,-1
6.0,3.0,3.0,2980.0,,1.0,A0,0,3,10.0,1820,1160,2570,28500,34,-1
1.6495,4.0,1.0,1460.0,,1.0,A0,0,4,7.0,730,730,1190,6000,74,-1
2.05,4.0,1.75,2250.0,,1.0,A0,0,3,8.0,1450,800,1930,16000,58,-1
2.4,3.0,2.5,1660.0,,2.0,A0,0,3,7.0,1660,0,2010,7983,21,-1
0.8355,5.0,1.5,1710.0,,1.5,A0,0,4,7.0,1710,0,1480,8025,54,-1
8.35,4.0,1.5,2890.0,,2.0,A0,4,3,8.0,2090,800,2550,8400,76,-1
1.509,3.0,1.0,1510.0,,1.0,A0,0,4,7.0,1010,500,1290,8470,52,-1
3.249,3.0,1.0,860.0,,1.5,A0,0,3,7.0,860,0,1540,4080,88,-1
2.46,4.0,1.0,,,1.0,A0,0,4,7.0,1300,0,1540,8498,74,-1
4.55,3.0,2.75,3400.0,7200.0,2.0,A0,2,3,9.0,2470,930,1580,8676,6,-1
2.9175,3.0,3.0,1571.0,,3.0,A0,0,3,8.0,1571,0,1520,1497,7,-1
3.31,2.0,2.0,,,3.0,A0,0,3,7.0,980,130,1110,1083,7,-1
2.85,3.0,1.75,1900.0,,1.0,A0,0,3,8.0,1900,0,1710,11407,52,-1
4.17,3.0,2.5,1690.0,,3.0,A0,0,3,8.0,1420,270,1280,1253,10,-1
4.75,3.0,2.75,2230.0,,1.0,A0,0,4,8.0,1460,770,2200,13280,38,-1
5.94,2.0,1.75,1950.0,10766.0,1.0,A0,3,4,6.0,1160,790,1780,11721,63,-1
1.5,3.0,1.5,1370.0,,1.0,A0,0,3,,1370,0,1400,9075,53,-1
0.85,3.0,1.5,1010.0,9600.0,1.0,A0,0,4,7.0,1010,0,1400,9660,53,-1
4.15,3.0,1.0,1420.0,11040.0,1.0,A0,0,4,7.0,1420,0,1530,8208,54,-1
4.6,3.0,2.0,2040.0,5600.0,1.0,A0,1,5,7.0,1120,920,2120,4958,61,-1
9.5,3.0,2.75,2780.0,,2.0,A0,2,5,8.0,1960,820,1490,4800,111,-1
1.45,3.0,2.5,1430.0,,2.0,A0,0,3,7.0,1430,0,1580,8624,24,-1
3.525,3.0,1.75,1240.0,,1.0,A0,0,5,7.0,1240,0,1640,7200,73,-1
2.04,4.0,2.0,1980.0,10051.0,1.0,A0,0,3,7.0,1980,0,1520,10125,46,12
7.525,5.0,4.25,3920.0,,2.0,A0,0,3,9.0,3000,920,3000,5297,15,-1
3.74,4.0,2.0,1870.0,6000.0,1.5,A0,0,3,7.0,1870,0,1520,7169,59,-1
6.85,3.0,2.5,,,1.0,A0,2,3,9.0,1600,450,2930,15050,55,-1
6.4,4.0,2.5,2450.0,,1.0,A0,0,3,8.0,1250,1200,2450,8000,57,-1
6.3,4.0,1.5,1780.0,,1.5,A0,3,3,,1780,0,1710,3600,89,-1
4.99,2.0,2.25,1100.0,1114.0,2.0,A0,0,3,8.0,900,200,1230,1800,6,-1
2.7,3.0,1.75,1860.0,7191.0,1.0,A0,0,4,7.0,1260,600,1850,7490,40,-1
2.8495,2.0,1.5,893.0,,2.0,A0,0,3,8.0,893,0,1340,1436,8,-1
4.541,2.0,1.0,1290.0,,1.5,A0,0,4,7.0,1290,0,1670,5712,74,-1
5.285,4.0,2.5,4060.0,,1.0,A0,4,3,9.0,2150,1910,2750,10370,38,-1
8.1355,3.0,2.5,3540.0,,2.0,A0,0,3,10.0,3540,0,3540,35926,26,-1
3.45,5.0,1.5,1890.0,,1.0,A0,0,3,7.0,1890,0,1670,9750,53,-1
0.9,3.0,1.0,910.0,,1.0,A0,0,4,6.0,910,0,1090,8700,72,-1
11.0,3.0,2.5,1970.0,,1.0,A1,4,3,8.0,1100,870,3030,34689,78,17
8.25,4.0,2.5,2660.0,,2.0,A0,0,5,8.0,1800,860,1510,3825,105,-1
3.4,4.0,2.5,2550.0,4500.0,2.0,A0,0,3,,2550,0,2340,4526,6,-1
2.535,4.0,3.0,2290.0,8250.0,2.0,A0,0,3,9.0,2290,0,2290,8250,25,-1
2.0,4.0,1.0,1770.0,,1.5,A0,0,3,7.0,1770,0,1580,7345,49,-1
6.4,4.0,2.5,2780.0,,2.0,A0,0,3,10.0,2780,0,2980,11454,28,-1
3.446,3.0,1.75,1680.0,,1.0,A0,0,3,7.0,1180,500,1890,9529,39,-1
12.58,4.0,4.5,3130.0,,3.0,A0,0,3,10.0,2450,680,2540,7784,1,-1
2.3,4.0,2.0,1780.0,,1.0,A0,0,3,7.0,870,910,1350,5044,22,-1
3.46,2.0,1.5,1400.0,11245.0,1.0,A0,0,5,7.0,1400,0,1220,11241,68,-1
3.525,3.0,1.0,1480.0,,1.5,A0,0,3,7.0,1480,0,1460,3600,90,-1
3.21,3.0,1.0,1500.0,,1.0,A0,0,3,7.0,1500,0,1820,13950,48,-1
2.475,4.0,2.75,2060.0,6659.0,1.0,A0,0,3,7.0,1280,780,2020,8720,34,-1
2.999,5.0,2.75,2980.0,,1.0,A0,0,3,8.0,1540,1440,2310,8500,33,-1
1.767,3.0,2.25,1810.0,,1.0,A0,0,3,7.0,1240,570,1810,5641,38,-1
5.38,3.0,3.25,2440.0,,2.0,A0,0,3,8.0,1710,730,2440,2836,10,-1
5.9,4.0,2.0,2970.0,,2.0,A0,0,3,8.0,2970,0,3280,46676,91,30
9.25,6.0,2.75,3600.0,,1.0,A0,2,4,9.0,1940,1660,2990,9675,38,-1
3.35,3.0,1.75,1440.0,8560.0,1.0,A0,0,4,,1440,0,1460,7560,36,-1
9.9,2.0,1.75,1890.0,9466.0,2.0,A0,0,3,8.0,1890,0,2180,12825,28,-1
6.55,3.0,2.5,2160.0,,1.0,A0,0,3,9.0,1540,620,930,5420,1,-1
3.23,4.0,2.5,2050.0,,2.0,A0,0,3,7.0,2050,0,1920,12841,26,-1
8.25,8.0,4.0,4020.0,,1.0,A0,0,3,8.0,2010,2010,1560,3737,47,-1
7.44,3.0,2.75,3176.0,,2.0,A0,3,4,9.0,2726,450,3470,12779,30,-1
2.58,3.0,1.0,1620.0,,1.0,A0,0,3,7.0,1120,500,1790,6178,51,-1
7.65,4.0,2.5,2170.0,,1.0,A0,0,4,8.0,1650,520,2350,9796,35,-1
4.0,5.0,3.5,2780.0,,2.0,A0,0,3,8.0,2180,600,2640,3850,10,-1
2.8,3.0,1.0,940.0,,1.0,A0,0,4,7.0,940,0,1060,8512,48,-1
3.74,2.0,1.0,1250.0,4576.0,1.0,A0,0,3,,1040,210,1550,5000,90,-1
1.545,3.0,1.75,1770.0,,1.0,A0,0,4,8.0,1770,0,1690,22069,47,-1
4.7,3.0,1.75,1810.0,,1.5,A0,0,4,7.0,1810,0,1140,3000,112,-1
4.27,4.0,2.25,2140.0,,1.0,A0,0,3,7.0,1550,590,2350,9000,38,-1
1.985,4.0,1.0,1360.0,,1.0,A0,0,4,6.0,1020,340,1230,6000,71,-1
7.5,4.0,1.0,2290.0,,1.5,A0,4,4,7.0,2150,140,2390,6300,94,-1
2.9065,4.0,2.25,2380.0,,2.0,A0,0,4,8.0,2380,0,2100,7700,38,-1
8.35,5.0,2.5,2350.0,,2.0,A0,0,3,9.0,2350,0,1840,4000,22,-1
4.2,4.0,2.5,2020.0,,1.0,A0,0,5,7.0,1010,1010,1620,7275,47,-1
4.3,3.0,2.25,1670.0,,2.0,A0,0,3,8.0,1220,450,1670,1596,13,-1
10.215,5.0,3.25,4010.0,,2.0,A0,0,3,11.0,4010,0,4010,12334,12,-1
19.14,3.0,2.5,2880.0,,1.0,A0,4,5,8.0,1520,1360,3710,20486,65,-1
2.3,3.0,2.25,1646.0,,2.0,A0,0,3,7.0,1646,0,1975,8889,21,-1
2.09,3.0,1.75,1430.0,4850.0,1.0,A0,0,3,,930,500,1430,4850,37,-1
2.75,4.0,2.5,1660.0,,2.0,A0,0,3,7.0,1660,0,1030,5000,8,-1
